"version","generator","osm3s__timestamp_osm_base","osm3s__timestamp_areas_base","osm3s__copyright","elements__type","elements__id","elements__center__lat","elements__center__lon","elements__lat","elements__lon","elements__tags__access","elements__tags__addr:city","elements__tags__addr:country","elements__tags__addr:full","elements__tags__addr:housename","elements__tags__addr:housenumber","elements__tags__addr:postcode","elements__tags__addr:state","elements__tags__addr:street","elements__tags__alt_name","elements__tags__addr:unit","elements__tags__amenity","elements__tags__denomination","elements__tags__electricity","elements__tags__area","elements__tags__description","elements__tags__contact:website","elements__tags__boundary","elements__tags__contact:phone","elements__tags__contact:phone:tollfree","elements__tags__building","elements__tags__building:colour","elements__tags__ele","elements__tags__ele:note","elements__tags__check_date","elements__tags__check_date:currency:XBT","elements__tags__contact:facebook","elements__tags__contact:instagram","elements__tags__currency:XBT","elements__tags__email","elements__tags__beds","elements__tags__building:levels","elements__tags__capacity","elements__tags__designation","elements__tags__capacity:beds","elements__tags__emergency","elements__tags__full_name","elements__tags__facebook","elements__tags__fax","elements__tags__gnis:feature_id","elements__tags__health_amenity:type","elements__tags__healthcare","elements__tags__leisure","elements__tags__helipad","elements__tags__heritage","elements__tags__heritage:operator","elements__tags__healthcare:for","elements__tags__layer","elements__tags__healthcare:speciality","elements__tags__image","elements__tags__landing_zone","elements__tags__name","elements__tags__name:en","elements__tags__nrhp:criteria","elements__tags__nrhp:inscription_date","elements__tags__nrhp:nhl","elements__tags__name_1","elements__tags__official_name","elements__tags__note","elements__tags__opening_date","elements__tags__opening_hours","elements__tags__operational_status","elements__tags__payment:cash","elements__tags__payment:cheque","elements__tags__payment:mastercard","elements__tags__payment:visa","elements__tags__payment:lightning","elements__tags__payment:lightning:operator","elements__tags__payment:lightning_contactless","elements__tags__payment:onchain","elements__tags__url","elements__tags__old_name","elements__tags__operator","elements__tags__operator:phone","elements__tags__roof:colour","elements__tags__roof:material","elements__tags__roof:shape","elements__tags__start_date","elements__tags__operator:short","elements__tags__operator:wikidata","elements__tags__operator:wikipedia","elements__tags__operator:type","elements__tags__school","elements__tags__phone","elements__tags__religion","elements__tags__tag","elements__tags__phone:tollfree","elements__tags__urgent_care","elements__tags__protection_title","elements__tags__ref:nrhp","elements__tags__specialty","elements__tags__was:amenity","elements__tags__toilets:wheelchair","elements__tags__source","elements__tags__type","elements__tags__short_name","elements__tags__ref","elements__tags__website","elements__tags__wheelchair","elements__tags__wikidata","elements__tags__wikipedia"
"0.6","Overpass API 0.7.62.8 e802775f","2026-01-06T04:46:55Z","2026-01-05T22:45:10Z","The data included in this document is from www.openstreetmap.org. The data is made available under ODbL.","node","357398599","","","35.2972934","-96.9275223","","Shawnee","","","","1900","74801","","South Gordon Cooper Drive","","","hospital","","","","","","","","","","","","","","","","","","","34","","","","","no","","","","1095449","","","","","","","","","","","","Cornerstone Hospital of Shawnee","","","","","","","","","","","","","","","","","","","","Mission Hill Hospital","","","","","","","","","","","","+1 405 395 5800","","","","","","","","","","","","","","https://www.chghospitals.com/shawnee/","","",""
"","","","","","node","357409682","","","34.6522258","-98.4146754","","Fort Sill","","","","4301","73503","","Wilson Street","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","no","","","","1101030","","hospital","","","","","","","","","","Reynolds Army Health Clinic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1 580 558 2000","","","","","","","","","","","","","","https://www.rach.sill.amedd.army.mil/","","",""
"","","","","","node","357588655","","","36.7255151","-108.2160069","","Farmington","","","","525","87401","","South Schwartz Avenue","","","hospital","","","","","","","","","","","","","","","","","","","16","","","","","no","","","","901297","","hospital","","","","","","","","","","San Juan Regional Rehabilitation Hospital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1-505-609-2625","","","","","","","","","","","","","","https://www.sanjuanregional.com/sjrrh","","",""
"","","","","","node","357588677","","","35.087744","-106.6380728","","Albuquerque","","","","505","87102","","Elm Street Northeast","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","no","","","","901300","","hospital","","","","","","","","","","Lovelace Rehabilitation Hospital","","","","","","","","","","","","","","","","","","","","Saint Joseph Rehabilitation Hospital","","","","","","","","","","","","+1 505 727 4725","","","","","","","","","","","","","","https://lovelace.com/lovelace-rehabilitation-hospital","","",""
"","","","","","node","357588909","","","35.0936574","-106.626969","","Albuquerque","","","","1127","87106","NM","University Boulevard Northeast","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","no","","","","901344","","hospital","","","","","","","paediatrics;orthopaedics","","","UNM Carrie Tingley Hospital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1-505-272-5200","","","","","","","","","","","","","270","http://hospitals.unm.edu/children/cth_description.shtml","","",""
"","","","","","node","357610499","","","35.6068621","-105.242564","","Las Vegas","","","","3695","87701","NM","Hot Springs Boulevard","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","no","","","","924739","","hospital","","","","","","","psychiatry","","","New Mexico Behavioral Health Institute","","","","","","","","","","","","","","","","","","","","New Mexico State Hospital","NMDOH","","","","","","","","","government","","+1-505-454-2100","","","","","","","","","","","","","BHI","https://nmhealth.org/about/ofm/ltcf/nmbhi/","","",""
"","","","","","node","357613858","","","35.0890388","-106.6380376","","Albuquerque","","","","700","87102","NM","High Street Northeast","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","no","","","","934091","","hospital","","","","","","","rehabilitation;LTACH","","","Kindred Hospital - Albuquerque","","","","","","","","","","","","","","","","","","","","Care Unit Hospital of Albuquerque","","","","","","","","","","","","+1 505 242 4444","","","","","","","","","","","","","","http://www.kindredalbuquerque.com/","","",""
"","","","","","node","357759720","","","42.0507648","-97.3843704","","Norfolk","","","","1700","68702","","North Victory Road","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","no","","","","831646","","","","","","","","","","","","Norfolk Regional Center","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+1 402 370 3400","","","","","","","","","","","","","","https://dhhs.ne.gov/behavioral_health/pages/beh_rc_nrcserv.aspx","","Q7051089","en:Norfolk Regional Center"
"","","","","","node","357780754","","","42.4607361","-98.6506252","","O'Neill","","","","302","68763","","North 2nd Street","","Suite 100","hospital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","hospital","","","","","","","","","","Avera Medical Group O'Neill","","","","","","","","","","","","","","","","","","","","","Avera Health","","","","","","","Q4828238","","","","+1 402 336 2900","","","","","","","","","","","","","","https://www.avera.org/locations/profile/?id=90","","",""
"","","","","","node","357781363","","","41.6022058","-98.942803","","Ord","","","","2707","68862","","L Street","","","hospital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","hospital","","","","","","","","","","Valley County Health System Medical Clinic","","","","","","","","","Mo-Fr 07:00-18:00; Sa 09:00-12:00","","","","","","","","","","","","","","","","","","","","","","","+1-308-728-4202","","","","","","","","","","","","","","https://www.valleycountyhealthsystem.org/medical-services/medical-clinics/ord-family-health-center","","",""
