name,website,email,phone,bio,city,state,lat,lon,source
Henry Ford Brighton Center for Recovery,https://healthcare.ascension.org/Locations/Michigan/Brighton-Center-for-Recovery,,+1 877 976 2371,Ascension,Brighton,,42.5189711,-83.6954343,OpenStreetMap (Overpass)
HealthSource Saginaw,https://www.healthsourcesaginaw.org/,,+1 989 790 7700,,Saginaw,,43.4548124,-84.0501374,OpenStreetMap (Overpass)
Oscar G. Johnson Veterans Affairs Medical Center,https://www.ironmountain.va.gov/,,+1-906-774-3300,,Iron Mountain,MI,45.8102828,-88.0614785,OpenStreetMap (Overpass)
Three Rivers Health,https://www.threerivershealth.org/,,+1-269-278-1145,,Three Rivers,MI,41.9353581,-85.6479325,OpenStreetMap (Overpass)
Sistersville General Hospital,https://www.sistersvillehospital.com/,,+1 304 652 2611,,Sistersville,,39.5586659,-81.0040005,OpenStreetMap (Overpass)
John Manchin Senior Health Care Center,https://dhhr.wv.gov/officeofhealthfacilities/Pages/John-Manchin-Sr.-Health-Care-Center.aspx,,+1 304 363 2500,West Virginia Department of Health & Human Resources,Fairmont,,39.4814545,-80.134456,OpenStreetMap (Overpass)
Holston Valley Medical Center,https://www.balladhealth.org/locations/hospitals/holston-valley,,+1-423-224-4000,Ballad Health,Kingsport,TN,36.5542675,-82.554874,OpenStreetMap (Overpass)
Tennova Healthcare – Lebanon,http://www.tennova.com/tennova-healthcare/tennova-healthcare-lebanon.aspx,,,,Lebanon,,36.2034187,-86.2832798,OpenStreetMap (Overpass)
Ridgeview Behavioral Health Services,https://www.ridgeview.com/,,+1 865 482 1076,,Oak Ridge,,36.0258701,-84.243149,OpenStreetMap (Overpass)
TriStar Portland ER,https://tristarportland.com/,,+1 615 745 8000,TriStar Health,Portland,,36.5573089,-86.5113418,OpenStreetMap (Overpass)
Behavioral Healthcare Center at Martin,https://www.thmgt.com/locations/behavioral-healthcare-center-at-martin,,+1 731 588 2830,Tennessee Health Management,Martin,,36.3381191,-88.871172,OpenStreetMap (Overpass)
Kindred Hospital - Chattanooga,http://www.kindredchattanooga.com/,,+1-423-266-7721,Kindred Healthcare,Chattanooga,,35.0476832,-85.3077233,OpenStreetMap (Overpass)
Parkridge Valley Child and Adolescent Campus,http://parkridgevalley.com/service/child-and-adolescent-care,,+1 423 894 4220,Parkridge Valley,Chattanooga,,35.0270191,-85.1218963,OpenStreetMap (Overpass)
Alvin C. York Campus,https://www.tennesseevalley.va.gov/locations/Alvin_C_York.asp,,+1 615 867 6000,United States Department of Veterans Affairs,Murfreesboro,,35.9139533,-86.3794364,OpenStreetMap (Overpass)
TriStar Skyline Madison Campus,https://tristarskylinemadison.com/,,+1 615 769 5000,TriStar Health,Madison,,36.2547756,-86.6824968,OpenStreetMap (Overpass)
The Oaks at La Paloma Treatment Center,https://theoakstreatment.com/,,+1 877 345 1887,,Memphis,,35.1124087,-89.9965329,OpenStreetMap (Overpass)
Monroe Carell Jr. Children's Hospital at Vanderbilt,https://www.childrenshospital.vanderbilt.org/,,+1 615 936 1000,,Nashville,,36.1393682,-86.8022762,OpenStreetMap (Overpass)
TriStar Centennial Parthenon Pavilion,https://tristarparthenonpavilion.com/,,+1 615 342 1400,TriStar Health,Nashville,,36.1526984,-86.8104941,OpenStreetMap (Overpass)
Select Specialty Hospital,https://nashville.selectspecialtyhospitals.com/,,+1 615 284 4599,Select Specialty Hospital,Nashville,TN,36.1525321,-86.8011062,OpenStreetMap (Overpass)
McLeod Dillon,https://www.mcleodhealth.org/mcleod-dillon/mcleod-health-dillon-has-a-strong-history-in-the-dillon-community.html,,+1 843 774 4111,,Dillon,SC,34.4213706,-79.3649225,OpenStreetMap (Overpass)
MUSC Health Rehabilitation Hospital,https://healthsouthcharleston.com/,,+1 843 820 7777,,Charleston,,32.9758,-80.0699,OpenStreetMap (Overpass)
MUSC Health Medical Center,https://www.muschealth.org,,+1-843-792-1414,Medical University of South Carolina,Charleston,SC,32.7846371,-79.9473218,OpenStreetMap (Overpass)
Belmont Pines Hospital,https://www.belmontpines.com/,,+1 330 759 2700,,Youngstown,,41.1610807,-80.6556944,OpenStreetMap (Overpass)
CarePartners Rehabilitation Hospital,http://www.carepartners.org/services_rehab_reh.html,,+1 828 274 6151,,Asheville,,35.5620193,-82.5314618,OpenStreetMap (Overpass)
Rutherford Regional Health System,https://www.myrutherfordregional.com/,,+1 828 286 5000,,Rutherfordton,,35.3626207,-81.9656609,OpenStreetMap (Overpass)
Beacham Memorial Hospital,https://beachammemorial.org/,,+1 601 783 2351,,Magnolia,,31.1458865,-90.4596768,OpenStreetMap (Overpass)
Lafayette Behavioral Health Unit,https://www.lafayettegeneral.com/our_facilities/professional_centers/lafayette_behavioral_health_unit.aspx,,,Lafayette General Health,Lafayette,,30.2202,-92.05679,OpenStreetMap (Overpass)
United Medical Rehabilitation Hospitals,https://umrhospital.com/locations/new-orleans/,,+1 504 433 5535,,Gretna,,29.8659914,-90.0301286,OpenStreetMap (Overpass)
Bainbridge Probation Substance Abuse Treatment Center,http://www.dcor.state.ga.us/Facilities/bainbridge-sub-abus-center,,+1 229 248 2416,,Bainbridge,,30.9826866,-84.6343607,OpenStreetMap (Overpass)
Fairbanks Addiction Treatment Center,https://www.fairbankscd.org/,,+1-317-849-8222,,Indianapolis,,39.9028231,-86.040818,OpenStreetMap (Overpass)
South Florida State Hospital,http://www.correctcarers.com/sfsh/,,+1 954 392 3000,Correct Care,Pembroke Pines,,26.002834,-80.2507295,OpenStreetMap (Overpass)
Kindred Hospital - North Florida,http://www.khnorthflorida.com/,,+1 904 284 9230,Kindred Healthcare,Green Cove Springs,,29.9877882,-81.6824678,OpenStreetMap (Overpass)
Douglas Gardens Hospital,https://miamijewishhealthsystems.org/healthcare-services-programs/hospital/,,+1 305 762 1500,,Miami,,25.8237323,-80.19296,OpenStreetMap (Overpass)
Brooks Rehabilitation Hospital,https://www.brooksrehab.org/inpatient-rehabilitation/rehabilitation-hospital/,,+1 904 345 7600,,Jacksonville,,30.2902563,-81.6011984,OpenStreetMap (Overpass)
West Florida Community Care Center,https://www.elakeviewcenter.org/MentalHealth/Adult/Inpatient-WFCCC.aspx,,+1 850 983 5500,Baptist Health Care,Milton,,30.6344247,-87.0423559,OpenStreetMap (Overpass)
