name,website,email,phone,bio,city,state,lat,lon,source
Hasbro Children's Hospital,https://www.hasbrochildrenshospital.org/,,+1 401 444 4000,Lifespan,Providence,RI,41.8112657,-71.4079546,OpenStreetMap (Overpass)
Hampstead Hospital,http://www.hampsteadhospital.com/,,+1 603 329 5311,Wellpath Recovery Solutions,Hampstead,NH,42.8717181,-71.1538108,OpenStreetMap (Overpass)
Crotched Mountain Rehabilitation Center,https://www.crotchedmountain.org/,,+1 603 547 3311,,Greenfield,,42.9729986,-71.8731105,OpenStreetMap (Overpass)
Dorothea Dix Psychiatric Center,https://www.maine.gov/dhhs/DDPC/,,+1-207-941-4000,,Bangor,ME,44.8178848,-68.741553,OpenStreetMap (Overpass)
Riverview Psychiatric Center,https://www.maine.gov/dhhs/riverview/,,+1-207-624-3900,,Augusta,ME,44.2998261,-69.7700831,OpenStreetMap (Overpass)
Cardiovascular Institute of New England,https://www.necardiologists.com/contact-locations/,,+14014649751,,Cranston,RI,41.7868679,-71.4720917,OpenStreetMap (Overpass)
Rehabilitation Hospital Of Rhode Island,https://www.rhri.net/home.aspx,,+1 401 766 0800,,North Smithfield,RI,41.9815783,-71.5128439,OpenStreetMap (Overpass)
Encompass Health Rehabilitation Hospital Of Middletown,https://encompasshealth.com/locations/middletownrehab,,+1 484 889 9815,,Middletown,DE,39.4534342,-75.6775223,OpenStreetMap (Overpass)
Sun Behavioral Delaware,https://sundelaware.com,info@sundelaware.com,+1 302-207-9176,,Georgetown,DE,38.699082,-75.408034,OpenStreetMap (Overpass)
Eleanor Slater Hospital,https://bhddh.ri.gov/eleanor-slater-hospital,,+1 401 462 3085,,Cranston,RI,41.7447052,-71.4632247,OpenStreetMap (Overpass)
KidsPeace National Centers Of New England,https://www.kidspeace.org,,+1 207 667 0909,,Ellsworth,ME,44.5902024,-68.4335906,OpenStreetMap (Overpass)
ChristianaCare,https://christianacare.org/us/en/care/primary-care/locations/lantana-square,,,ChristianaCare,Hockessin,DE,39.7727412,-75.7112086,OpenStreetMap (Overpass)
Thayer Center for Health,https://www.mainegeneral.org/Pages/Find-a-Location/Thayer%20Center%20for%20Health.aspx,,+1-207-872-1000,MaineGeneral Medical Center,Waterville,,44.5654327,-69.6462036,OpenStreetMap (Overpass)
Parkland Medical Center,https://parklandmedicalcenter.com/,,+1 603 432 1500,HCA,Derry,,42.8769254,-71.3163703,OpenStreetMap (Overpass)
Sunset Valley Dental,https://www.sunsetvalleydental.com/,,,Dentistry,Woodstock,VT,43.6287624,-72.5063959,OpenStreetMap (Overpass)
Veterans Affairs Medical Center Wilmington,https://www.wilmington.va.gov/,,+1 302 994 2511,,Wilmington,,39.7403211,-75.6065018,OpenStreetMap (Overpass)
Elliot Hospital,https://www.elliothospital.org/,,+1 603 669 5300,,Manchester,,42.9836258,-71.437174,OpenStreetMap (Overpass)
Plaistow Emergency Room,https://parklandmedicalcenter.com/locations/plaistow-emergency-room/,,+1-603-257-6100,Parkland Medical Center,Plaistow,NH,42.82006,-71.1045192,OpenStreetMap (Overpass)
Southern New Hampshire Medical Center,http://www.snhhs.org/,,+1-603-577-2000,,Nashua,NH,42.756399,-71.460599,OpenStreetMap (Overpass)
Saint Joseph Hospital,https://www.stjosephhospital.com/,,+1 603 882 3000,,Nashua,,42.7490921,-71.4798177,OpenStreetMap (Overpass)
The Elliot at River's Edge,https://www.elliothospital.org/website/rivers-edge.php,,+1-603-663-3000,Elliot Hospital,Manchester,NH,42.9748996,-71.468088,OpenStreetMap (Overpass)
New London Hospital,https://www.newlondonhospital.org/,,,,New London,NH,43.4205656,-72.0003741,OpenStreetMap (Overpass)
Our Lady of Fatima Hospital,https://www.fatimahospital.com/,,+1-401-456-3000,,North Providence,,41.8554534,-71.4603194,OpenStreetMap (Overpass)
George Washington University Hospital,https://www.gwhospital.com/,,+1 202-715-4000,,Washington,,38.9013477,-77.0507851,OpenStreetMap (Overpass)
Wentworth-Douglass Hospital,http://www.wdhospital.com/,,+1 603 742 5252,,Dover,,43.2128972,-70.8736087,OpenStreetMap (Overpass)
Concord Hospital,https://www.concordhospital.org/,,+1 603 225 2711,,Concord,,43.1992752,-71.5627404,OpenStreetMap (Overpass)
Children's National Hospital,https://childrensnational.org/,,+1 202-476-5000,,Washington,,38.9271087,-77.0141748,OpenStreetMap (Overpass)
Bradley Hospital,https://www.bradleyhospital.org/,,+1 401 432 1000,Lifespan,East Providence,,41.7927256,-71.36777,OpenStreetMap (Overpass)
Parkview Adventist Medical Center,http://parkviewamc.org/,,+1-207-373-2000,,Brunswick,ME,43.8943876,-69.9681582,OpenStreetMap (Overpass)
Togus Veterans Affairs Medical Center,https://www.maine.va.gov/,,+1-207-623-8411,Veterans Health Administration,Chelsea,ME,44.278453,-69.7038007,OpenStreetMap (Overpass)
Rumford Hospital,https://www.cmhc.org/rumford-hospital/,,+1-207-369-1000,Central Maine Healthcare,Rumford,ME,44.5517673,-70.5561538,OpenStreetMap (Overpass)
Bayhealth Kent General,https://www.bayhealth.org/kent-general-hospital/kent-home,,+1 302 674 4700,,Kent,,39.1514135,-75.5236031,OpenStreetMap (Overpass)
Newport Hospital,https://www.newporthospital.org/,,+1 401 846 6400,,Newport,,41.4970816,-71.3058762,OpenStreetMap (Overpass)
Butler Hospital,https://www.butler.org/,,+1 401 455 6200,Butler Hospital,Providence,RI,41.8422204,-71.3811434,OpenStreetMap (Overpass)
Mount Ascutney Hospital,https://www.mtascutneyhospital.org/,,+1 802 674 6711,,Windsor,,43.4871177,-72.4034742,OpenStreetMap (Overpass)
SMHC Medical Center Sanford,https://mainehealth.org/locations/smhc-locations/smhc-medical-center-sanford,,+1-207-324-4310,Southern Maine Health Care,Sanford,,43.4485967,-70.7673313,OpenStreetMap (Overpass)
Landmark Medical Center,https://www.landmarkmedical.org/,,+1 401 769 4100,,Woonsocket,,42.0037381,-71.4958499,OpenStreetMap (Overpass)
Eleanor Slater Hospital Zambarano Unit,http://www.bhddh.ri.gov/esh/,,+1 401 567 5400,,Pascoag,,41.9969442,-71.7611728,OpenStreetMap (Overpass)
Westerly Hospital,https://www.westerlyhospital.org/,,+1 401 596 6000,,Westerly,,41.3620332,-71.8240305,OpenStreetMap (Overpass)
South County Hospital,https://www.southcountyhealth.org/,,+1 401 782 8000,,Wakefield,RI,41.4312237,-71.4969243,OpenStreetMap (Overpass)
Kent Hospital,https://www.kentri.org/,,+1 401 737 7000,Care New England,Warwick,,41.7059061,-71.4773368,OpenStreetMap (Overpass)
Miriam Hospital,https://www.miriamhospital.org/,,+1 401-793-2500,,Providence,,41.8520082,-71.3982699,OpenStreetMap (Overpass)
Providence VA Medical Center,https://www.providence.va.gov/,,+1 401 273 7100,,Providence,,41.8317976,-71.432492,OpenStreetMap (Overpass)
Roger Williams Medical Center,https://www.rwmc.org/,,+1 401 456 2000,,Providence,,41.8343581,-71.4353299,OpenStreetMap (Overpass)
Northeastern Vermont Regional Hospital,https://www.nvrh.org/,,+1 802 748 8141,,Saint Johnsbury,,44.4458753,-72.009824,OpenStreetMap (Overpass)
Brattleboro Memorial Hospital,https://www.bmhvt.org/,,+1 802 257 0341,,Brattleboro,,42.8432841,-72.5655943,OpenStreetMap (Overpass)
North Country Hospital and Health Center,https://www.northcountryhospital.org/,,+1 802 334 7331,,Newport,,44.9564896,-72.2008692,OpenStreetMap (Overpass)
Northwestern Medical Center,https://www.northwesternmedicalcenter.org/,,+1 802 524 5911,,Saint Albans,,44.8078596,-73.0710387,OpenStreetMap (Overpass)
Southwestern Vermont Medical Center,https://svhealthcare.org/,,+1 802 442 6361,,Bennington,,42.873759,-73.2073377,OpenStreetMap (Overpass)
Copley Hospital,https://www.copleyvt.org/,,+1 802 888 8888,,Morrisville,,44.5531053,-72.591442,OpenStreetMap (Overpass)
Central Vermont Medical Center,https://www.cvmc.org/,,+1-802-371-4100,University of Vermont Health Network,Berlin,,44.2206687,-72.5612273,OpenStreetMap (Overpass)
Rutland Regional Medical Center,https://www.rrmc.org/,,+1 802 775 7111,,Rutland,,43.5976225,-72.9558934,OpenStreetMap (Overpass)
White River Junction VA Medical Center,https://www.whiteriver.va.gov/,,+1-802-295-9363,Veterans Health Administration,White River Junction,VT,43.6487992,-72.3429144,OpenStreetMap (Overpass)
Gifford Medical Center,https://giffordhealthcare.org/,,+1 802 728 7000,,Randolph,VT,43.9164081,-72.6650333,OpenStreetMap (Overpass)
Grace Cottage Hospital,https://gracecottage.org/,,+1 802 365 7357,,Townshend,,43.0493278,-72.667997,OpenStreetMap (Overpass)
Springfield Hospital,https://springfieldhospital.org/,,+1 802 885 2151,Springfield Medical Care Systems,Springfield,,43.2978946,-72.4951826,OpenStreetMap (Overpass)
Acadia Hospital,https://acadiahospital.org/,,+1-800-640-1211,,Bangor,,44.820476,-68.7637927,OpenStreetMap (Overpass)
Eastern Maine Medical Center,https://www.emmc.org/,,+1-207-973-7000,,Bangor,,44.8082788,-68.7506186,OpenStreetMap (Overpass)
Saint Joseph Hospital,http://www.stjoeshealing.org/,,+1-207-907-1000,,Bangor,ME,44.8144266,-68.7722165,OpenStreetMap (Overpass)
Northern Maine Medical Center,https://www.nmmc.org/,,+1-207-834-3155,,Fort Kent,ME,47.2659001,-68.5928828,OpenStreetMap (Overpass)
Cary Medical Center,https://www.carymedicalcenter.org/,,+1-207-498-3111,,Caribou,,46.8794754,-68.0042014,OpenStreetMap (Overpass)
Calais Regional Hospital,https://www.calaishospital.org/,,+1-207-454-7521,,Calais,ME,45.1777726,-67.2679692,OpenStreetMap (Overpass)
Down East Community Hospital,https://www.dech.org/,,+1-207-255-3356,,Machias,ME,44.714422,-67.4756715,OpenStreetMap (Overpass)
Millinocket Regional Hospital,https://www.mrhme.org/,,+1-207-723-5161,,Millinocket,ME,45.6529029,-68.7161572,OpenStreetMap (Overpass)
Charles A Dean Memorial Hospital,http://cadean.org/,,+1-207-695-5200,,Greenville,ME,45.458672,-69.6102662,OpenStreetMap (Overpass)
York Hospital,https://www.yorkhospital.com/,,+1-207-363-4321,,York,,43.1420315,-70.651858,OpenStreetMap (Overpass)
Southern Maine Health Care,https://www.smhc.org/,,+1-207-283-7000,,Biddeford,,43.4767766,-70.4904088,OpenStreetMap (Overpass)
Brighton Medical Center,https://www.mmc.org/maine-medical-center-brighton-campus,,+1-207-662-8000,,Portland,ME,43.6662266,-70.2915525,OpenStreetMap (Overpass)
Maine Medical Center,https://www.mmc.org/,,+1-207-662-0111,,Portland,ME,43.6531948,-70.2756134,OpenStreetMap (Overpass)
Mount Desert Island Hospital,https://www.mdihospital.org/,,+1-207-288-5081,,Bar Harbor,ME,44.3851534,-68.2019274,OpenStreetMap (Overpass)
Maine Coast Memorial Hospital,http://mcmhospital.org/,,+1-207-664-5311,,Ellsworth,ME,44.5464634,-68.4162582,OpenStreetMap (Overpass)
Redington-Fairview General Hospital,https://www.rfgh.net/,,+1-207-474-5121,,Skowhegan,ME,44.7586878,-69.7130921,OpenStreetMap (Overpass)
Bridgton Hospital,http://www.bridgtonhospital.org/,,+1-207-647-6000,,Bridgton,ME,44.0462007,-70.7145836,OpenStreetMap (Overpass)
Inland Hospital,https://www.inlandhospital.org/,,+1-207-861-3000,,Waterville,ME,44.5413368,-69.6623175,OpenStreetMap (Overpass)
MaineGeneral Medical Center - Alfond Center for Health,https://www.mainegeneral.org/,,+1-207-626-1000,MaineGeneral Health,Augusta,ME,44.3641159,-69.7801671,OpenStreetMap (Overpass)
Central Maine Medical Center,https://www.cmmc.org/,,+1-207-795-0111,,Lewiston,ME,44.1025748,-70.214487,OpenStreetMap (Overpass)
Lakes Region General Hospital,http://www.lrgh.org/,,+1 603 524 3211,,Laconia,,43.5283827,-71.4627824,OpenStreetMap (Overpass)
