name,website,email,phone,bio,city,state,lat,lon,source
Henry Ford Brighton Center for Recovery,https://healthcare.ascension.org/Locations/Michigan/Brighton-Center-for-Recovery,,+1 877 976 2371,Ascension,Brighton,,42.5189711,-83.6954343,OpenStreetMap (Overpass)
HealthSource Saginaw,https://www.healthsourcesaginaw.org/,,+1 989 790 7700,,Saginaw,,43.4548124,-84.0501374,OpenStreetMap (Overpass)
Oscar G. Johnson Veterans Affairs Medical Center,https://www.ironmountain.va.gov/,,+1-906-774-3300,,Iron Mountain,MI,45.8102828,-88.0614785,OpenStreetMap (Overpass)
Three Rivers Health,https://www.threerivershealth.org/,,+1-269-278-1145,,Three Rivers,MI,41.9353581,-85.6479325,OpenStreetMap (Overpass)
Holston Valley Medical Center,https://www.balladhealth.org/locations/hospitals/holston-valley,,+1-423-224-4000,Ballad Health,Kingsport,TN,36.5542675,-82.554874,OpenStreetMap (Overpass)
Tennova Healthcare – Lebanon,http://www.tennova.com/tennova-healthcare/tennova-healthcare-lebanon.aspx,,,,Lebanon,,36.2034187,-86.2832798,OpenStreetMap (Overpass)
Ridgeview Behavioral Health Services,https://www.ridgeview.com/,,+1 865 482 1076,,Oak Ridge,,36.0258701,-84.243149,OpenStreetMap (Overpass)
TriStar Portland ER,https://tristarportland.com/,,+1 615 745 8000,TriStar Health,Portland,,36.5573089,-86.5113418,OpenStreetMap (Overpass)
Behavioral Healthcare Center at Martin,https://www.thmgt.com/locations/behavioral-healthcare-center-at-martin,,+1 731 588 2830,Tennessee Health Management,Martin,,36.3381191,-88.871172,OpenStreetMap (Overpass)
Kindred Hospital - Chattanooga,http://www.kindredchattanooga.com/,,+1-423-266-7721,Kindred Healthcare,Chattanooga,,35.0476832,-85.3077233,OpenStreetMap (Overpass)
Parkridge Valley Child and Adolescent Campus,http://parkridgevalley.com/service/child-and-adolescent-care,,+1 423 894 4220,Parkridge Valley,Chattanooga,,35.0270191,-85.1218963,OpenStreetMap (Overpass)
Alvin C. York Campus,https://www.tennesseevalley.va.gov/locations/Alvin_C_York.asp,,+1 615 867 6000,United States Department of Veterans Affairs,Murfreesboro,,35.9139533,-86.3794364,OpenStreetMap (Overpass)
TriStar Skyline Madison Campus,https://tristarskylinemadison.com/,,+1 615 769 5000,TriStar Health,Madison,,36.2547756,-86.6824968,OpenStreetMap (Overpass)
The Oaks at La Paloma Treatment Center,https://theoakstreatment.com/,,+1 877 345 1887,,Memphis,,35.1124087,-89.9965329,OpenStreetMap (Overpass)
Monroe Carell Jr. Children's Hospital at Vanderbilt,https://www.childrenshospital.vanderbilt.org/,,+1 615 936 1000,,Nashville,,36.1393682,-86.8022762,OpenStreetMap (Overpass)
Lloyd C. Elam Mental Health Center,https://www.mmc.edu/patientcare/school-of-medicine/locations/elamcenter.html,,,,,,36.1667039,-86.8080112,OpenStreetMap (Overpass)
TriStar Centennial Parthenon Pavilion,https://tristarparthenonpavilion.com/,,+1 615 342 1400,TriStar Health,Nashville,,36.1526984,-86.8104941,OpenStreetMap (Overpass)
Select Specialty Hospital,https://nashville.selectspecialtyhospitals.com/,,+1 615 284 4599,Select Specialty Hospital,Nashville,TN,36.1525321,-86.8011062,OpenStreetMap (Overpass)
Belmont Pines Hospital,https://www.belmontpines.com/,,+1 330 759 2700,,Youngstown,,41.1610807,-80.6556944,OpenStreetMap (Overpass)
Fairbanks Addiction Treatment Center,https://www.fairbankscd.org/,,+1-317-849-8222,,Indianapolis,,39.9028231,-86.040818,OpenStreetMap (Overpass)
Anoka-Metro Regional Treatment Center,https://mn.gov/dhs/people-we-serve/adults/services/direct-care-treatment/programs-services/anoka-metro-regional-treatment-center,,,Minnesota Department of Human Services,Anoka,MN,45.2148213,-93.3793805,OpenStreetMap (Overpass)
Mulberry Center,https://www.harrisburgmc.com/services/behavioral-health-services/,,+1-618-252-0999,,Harrisburg,IL,37.7306713,-88.5235793,OpenStreetMap (Overpass)
TriStar Spring Hill ER,https://tristarspringhiller.com/,,+1 931 489 1100,TriStar Health,Spring Hill,,35.7341106,-86.918668,OpenStreetMap (Overpass)
Michael & Susan Smith Emergency Department at Eskenazi Health,https://www.eskenazihealth.edu/health-services/emergency,,,,,,39.7783858,-86.1841314,OpenStreetMap (Overpass)
UK Healthcare,https://ukhealthcare.uky.edu/,,+1 859 257 1000,,Lexington,,38.0310772,-84.5093899,OpenStreetMap (Overpass)
Heart Hospital at Swedish American Hospital,https://www.swedishamerican.org/locations/heart-hospital,,+1 779 696 6000,,Rockford,IL,42.2646406,-89.0730194,OpenStreetMap (Overpass)
Mercy Health Sylvania Medical Center,https://www.mercy.com/toledo/locations/medical-centers/mercy-health-sylvania-medical-center,,+1 567 455 5800,Mercy Health,Sylvania,,41.6749579,-83.7219833,OpenStreetMap (Overpass)
Leo A. Hoffman Center,https://www.hoffmanncenter.org/index.php,info@hoffmancenter.org,+1-507-934-6122,,Saint Peter,MN,44.3074727,-93.9819245,OpenStreetMap (Overpass)
Divine Providence Community Home,https://divineprovidencehome.org/,,+1-507-794-3011,,Sleepy Eye,MN,44.305705,-94.7248758,OpenStreetMap (Overpass)
Springfield Clinic Wabash,https://www.springfieldclinic.com/,,+1-217-528-7541,,Springfield,IL,39.7634631,-89.6974655,OpenStreetMap (Overpass)
The Children's Hospital at TriStar Centennial,https://thechildrenshospitalnashville.com/,,+1 615 342 1000,TriStar Health,Nashville,,36.153542,-86.807152,OpenStreetMap (Overpass)
Medical Center at Elizabeth Place,http://www.mcep.us/,,+1 937 223 6237,,Dayton,,39.7481476,-84.1996953,OpenStreetMap (Overpass)
Advocate Children's Hospital - Oak Lawn,https://www.advocatechildrenshospital.com/,,+1 708 684 8000,Advocate Health Care,Oak Lawn,IL,41.7235705,-87.732089,OpenStreetMap (Overpass)
Spence and Becky Wilson Baptist Children's Hospital,https://www.baptistonline.org/locations/childrens,,+1 901 227 7337,Baptist Memorial Health Care Corporation,Memphis,TN,35.1281425,-89.8549578,OpenStreetMap (Overpass)
Hopedale Medical Complex,https://www.hopedalemc.com/,,+1 309 449 3321,,Hopedale,,40.4185115,-89.4169736,OpenStreetMap (Overpass)
