name,website,email,phone,bio,city,state,lat,lon,source
Kuakini Medical Center,https://www.kuakini.org/,,+1 808 536 2236,,Honolulu,HI,21.3213889,-157.856111,OpenStreetMap (Overpass)
Kaiser Permanente Moanalua Medical Center,https://healthy.kaiserpermanente.org/hawaii/facilities/kaiser-permanente-moanalua-medical-center-100434,,+1 808 432 2000,Kaiser Permanente,Honolulu,,21.3633504,-157.899779,OpenStreetMap (Overpass)
Petersburg Medical Center,https://www.pmcak.org/,,+1 907 772 4291,,Petersburg,AK,56.8128844,-132.955361,OpenStreetMap (Overpass)
Fairbanks Family Wellness,https://fairbanksfamilywellness.com,,+1 907-479-2331,Amy Williamson,Fairbanks,AK,64.8373102,-147.807663,OpenStreetMap (Overpass)
Urosurgical Center Of Richmond,https://richmond.bonsecours.com/find-a-facility-memorial-regional-medical-center.html,,+1 804-330-9105,,Richmond,VA,37.5491645,-77.5675664,OpenStreetMap (Overpass)
Stuart Community Hospital,https://stuart.health/,info@stuart.health,+1-276-692-9040,Stuart Community Hospital Inc.,Stuart,VA,36.6463178,-80.2548125,OpenStreetMap (Overpass)
Select Specialty Hospital,https://www.vibrahealthcare.com,,+1 804-678-7000,Select Specialty Hospital,Richmond,VA,37.5906261,-77.4907328,OpenStreetMap (Overpass)
Bassett Army Community Hospital,https://bassett-wainwright.tricare.mil,,+1 800 478 5172,,Fort Wainwright,AK,64.8297002,-147.6622292,OpenStreetMap (Overpass)
Mat-Su Regional Outpatient Center,https://www.matsuregional.com,,+1 907 352 2860,,Wasilla,,61.5864231,-149.4270914,OpenStreetMap (Overpass)
Kahi Mohala,https://www.sutterhealth.org/kahi,,+1 808 671 8511,,Ewa Beach,HI,21.3739369,-158.0340265,OpenStreetMap (Overpass)
Warrior Ohana Medical Home,https://tripler.tricare.mil/Clinics/Warrior-Ohana-Medical-Home,,+1 808 433 5420,,Kapolei,HI,21.3192067,-158.0713256,OpenStreetMap (Overpass)
Inova Cardiology - Ballston,https://www.inova.org/locations/inova-cardiology-ballston,,+1-571-472-3401,Inova Health System,Arlington,VA,38.8826562,-77.106443,OpenStreetMap (Overpass)
Inova Neurosurgery - Ballston,https://www.inova.org/locations/inova-neurosurgery-ballston,,+1-571-472-4100,Inova Health System,Arlington,VA,38.8826594,-77.1063581,OpenStreetMap (Overpass)
Inova General Surgery - Arlington,https://www.inova.org/locations/inova-general-surgery-arlington,,,Inova Health System,Arlington,VA,38.8826599,-77.1062848,OpenStreetMap (Overpass)
Sentara Leigh Hospital,https://www.sentara.com/hospitalslocations/locations/sentara-leigh-hospital.aspx,,+1 757 261 6700,Sentara,Norfolk,,36.8511191,-76.1901023,OpenStreetMap (Overpass)
Harbor Point Behavioral Health Center,https://harborpointbhc.com/,,+1 757 393 0061,,Portsmouth,,36.8404923,-76.3072567,OpenStreetMap (Overpass)
Carilion Rockbridge Community Hospital,https://www.carilionclinic.org/locations/carilion-rockbridge-community-hospital,,+1 540 458 3300,Carilion Clinic,Lexington,VA,37.7789192,-79.4407683,OpenStreetMap (Overpass)
LewisGale Medical Center,https://www.hcavirginia.com/locations/lewisgale-medical-center,,+1 540 776 4000,HCA,Salem,,37.2637076,-80.0298816,OpenStreetMap (Overpass)
Memorial Regional Medical Center,https://bonsecours.com/richmond/find-a-facility/memorial-regional-medical-center,,+1 804 764 1000,Bon Secours Health System,Mechanicsville,VA,37.6287456,-77.3855987,OpenStreetMap (Overpass)
Doctors' Parham Hospital,https://www.hcavirginia.com/locations/parham-doctors-hospital,,+1 804-747-5600,HCA,Richmond,VA,37.6315816,-77.5251526,OpenStreetMap (Overpass)
Central State Hospital,http://csh.dbhds.virginia.gov/,,+1 804 524 7000,,Petersburg,,37.2094216,-77.4513338,OpenStreetMap (Overpass)
Children's Hospital of Richmond at VCU Brook Road Campus,https://www.chrichmond.org/Locations/Brook-Road-Hospital.htm,,+1 804-228-5818,,Richmond,VA,37.5712845,-77.4508226,OpenStreetMap (Overpass)
Saint Mary's Hospital,https://bonsecours.com/richmond/find-a-facility/st-marys-hospital,,+1 804-285-2011,Bon Secours Health System,Richmond,VA,37.5839357,-77.512913,OpenStreetMap (Overpass)
Henrico Doctors' Hospital,https://www.hcavirginia.com/locations/henrico-doctors-hospital,,+1 804-289-4500,HCA,Richmond,VA,37.6032869,-77.5410277,OpenStreetMap (Overpass)
Hunter Holmes McGuire Veterans Administration Medical Center,https://www.richmond.va.gov/,,+1 804-675-5000,Veterans Health Administration,Richmond,VA,37.4962856,-77.465775,OpenStreetMap (Overpass)
Bon Secours DePaul Medical Center,https://bonsecours.com/hampton-roads/find-a-facility/bon-secours-depaul-medical-center,,+1 757 889 5000,Bon Secours Health System,Norfolk,,36.89917,-76.2815607,OpenStreetMap (Overpass)
Virginia Beach General Hospital,https://www.sentara.com/hospitalslocations/locations/sentara-virginia-beach-general-hospital.aspx,,+1 757 395 8000,Sentara,Virginia Beach,,36.86492,-76.0261013,OpenStreetMap (Overpass)
Bon Secours Mary Immaculate Hospital,https://bonsecours.com/hampton-roads/find-a-facility/bon-secours-mary-immaculate-hospital,,+1 757 886 6000,Bon Secours Health System,Newport News,,37.1442244,-76.5111191,OpenStreetMap (Overpass)
LewisGale Hospital Pulaski,https://lewisgale.com/location/lewisgale-hospital-pulaski,,+1 540 994 8509,HCA,Pulaski,VA,37.068471,-80.7571404,OpenStreetMap (Overpass)
Reston Hospital Center,https://restonhospital.com/,,+1 703-689-9000,HCA Virginia Health System,Reston,VA,38.9625595,-77.3650282,OpenStreetMap (Overpass)
LewisGale Hospital Montgomery,https://lewisgale.com/location/lewisgale-hospital-montgomery,,+1 540 951 1111,LewisGale Regional Health System,Blacksburg,VA,37.1872999,-80.4116322,OpenStreetMap (Overpass)
Inova Medical Center - Reston,https://www.inova.org/healthcare-services/emergency-services/locations/index.jsp,,,Inova,Reston,,38.9654798,-77.3569229,OpenStreetMap (Overpass)
Centra Southside Community Hospital,https://www.centrahealth.com/facilities/centra-southside-community-hospital,,+1 434 392 8811,Centra Health,Farmville,,37.3027092,-78.4040133,OpenStreetMap (Overpass)
Alexander T. Augusta Military Medical Center,https://belvoirhospital.tricare.mil/,,+1 571-231-3224,TRICARE,Fort Belvoir,VA,38.7060922,-77.1427805,OpenStreetMap (Overpass)
North Spring Behavioral Healthcare,https://www.northspringleesburg.com/,,+1 800-777-8855,,Leesburg,VA,39.1447648,-77.546756,OpenStreetMap (Overpass)
UVA HealthSouth Rehabilitation Hospital,http://www.uvahealthsouth.com/,,+1 434 244 2000,Encompass Health,Charlottesville,VA,38.0244704,-78.5255589,OpenStreetMap (Overpass)
Inova Loudoun (Cornwall) Medical Campus,https://www.inova.org/locations/inova-loudoun-medical-campus-leesburg/services,,,Inova,Leesburg,VA,39.1196549,-77.5688612,OpenStreetMap (Overpass)
Providence Valdez Medical Center,https://alaska.providence.org/locations/p/pvmc,,+1 907 835 2249,,Valdez,AK,61.1365444,-146.3466371,OpenStreetMap (Overpass)
Encompass Health Rehabilitation Hospital of Fredericksburg,https://encompasshealth.com/fredericksburgrehab,,+1 540 368 7300,Encompass Health,Fredericksburg,VA,38.3127565,-77.4870811,OpenStreetMap (Overpass)
Fairbanks Memorial Hospital,http://www.fmhdc.com/,,+1 907 452 8181,,Fairbanks,,64.8317381,-147.7405837,OpenStreetMap (Overpass)
North Hawaii Community Hospital,http://www.nhch.com/,,+1 808 885 4444,,Kamuela,,20.0223665,-155.6644342,OpenStreetMap (Overpass)
Bon Secours Saint Francis Medical Center,https://bonsecours.com/richmond/find-a-facility/st-francis-medical-center,,+1 804-594-7300,Bon Secours,Midlothian,VA,37.4666833,-77.6594133,OpenStreetMap (Overpass)
Kauai Veterans Memorial Hospital,https://kvmh.hhsc.org/,,+1 808 338 9431,,Waimea,,21.9607047,-159.6709879,OpenStreetMap (Overpass)
Mt. Edgecumbe Hospital,https://searhc.org/service/mt-edgecumbe-hospital-saxt-hit/,,+1 907 966 2411,SouthEast Alaska Regional Health Consortium,Sitka,AK,57.0516902,-135.355111,OpenStreetMap (Overpass)
Riverside Regional Medical Center,https://www.riversideonline.com/rrmc/,,+1 757 594 2000,Riverside,Newport News,VA,37.0634326,-76.4831564,OpenStreetMap (Overpass)
Kapi'olani Medical Center for Women and Children,https://www.hawaiipacifichealth.org/kapiolani/,,+1 808 983 6000,,Honolulu,,21.2998769,-157.8334464,OpenStreetMap (Overpass)
Stone Springs Hospital Center,https://stonespringshospital.com/,,+1 571-349-4000,HCA Virginia Health System,Dulles,VA,38.9404343,-77.5428666,OpenStreetMap (Overpass)
Inova Fair Oaks Hospital,https://www.inova.org/patient-and-visitor-information/facilities/inova-fair-oaks-hospital/index.jsp,,+1 703-391-3600,Inova Health System,Fairfax,VA,38.8847973,-77.3813263,OpenStreetMap (Overpass)
Sentara Port Warwick,https://www.sentara.com/hampton-roads-virginia/hospitalslocations/locations/sentara-port-warwick.aspx,,,Sentara,Newport News,VA,37.084468,-76.4842564,OpenStreetMap (Overpass)
Kona Community Hospital,https://kch.hhsc.org/,,+1 808 322 9311,Hawaii Health Systems Corporation,Kealakekua,,19.5201625,-155.9175171,OpenStreetMap (Overpass)
Haymarket Medical Center,https://www.novanthealthuva.org/locations/medical-centers--emergency-rooms/haymarket-medical-center.aspx,,+1 571-284-1000,Novant Health UVA Health System,Haymarket,VA,38.8209392,-77.6421275,OpenStreetMap (Overpass)
Pyramid Healthcare Detox & Residential Treatment Center,https://www.pyramid-healthcare.com/locations/virginia/newport-news,,+1 757 586-3900,,Newport News,VA,36.9861896,-76.3927659,OpenStreetMap (Overpass)
