name,website,email,phone,bio,city,state,lat,lon,source
Sistersville General Hospital,https://www.sistersvillehospital.com/,,+1 304 652 2611,,Sistersville,,39.5586659,-81.0040005,OpenStreetMap (Overpass)
John Manchin Senior Health Care Center,https://dhhr.wv.gov/officeofhealthfacilities/Pages/John-Manchin-Sr.-Health-Care-Center.aspx,,+1 304 363 2500,West Virginia Department of Health & Human Resources,Fairmont,,39.4814545,-80.134456,OpenStreetMap (Overpass)
McLeod Dillon,https://www.mcleodhealth.org/mcleod-dillon/mcleod-health-dillon-has-a-strong-history-in-the-dillon-community.html,,+1 843 774 4111,,Dillon,SC,34.4213706,-79.3649225,OpenStreetMap (Overpass)
MUSC Health Rehabilitation Hospital,https://healthsouthcharleston.com/,,+1 843 820 7777,,Charleston,,32.9758,-80.0699,OpenStreetMap (Overpass)
MUSC Health Medical Center,https://www.muschealth.org,,+1-843-792-1414,Medical University of South Carolina,Charleston,SC,32.7846371,-79.9473218,OpenStreetMap (Overpass)
CarePartners Rehabilitation Hospital,http://www.carepartners.org/services_rehab_reh.html,,+1 828 274 6151,,Asheville,,35.5620193,-82.5314618,OpenStreetMap (Overpass)
Rutherford Regional Health System,https://www.myrutherfordregional.com/,,+1 828 286 5000,,Rutherfordton,,35.3626207,-81.9656609,OpenStreetMap (Overpass)
Beacham Memorial Hospital,https://beachammemorial.org/,,+1 601 783 2351,,Magnolia,,31.1458865,-90.4596768,OpenStreetMap (Overpass)
Lafayette Behavioral Health Unit,https://www.lafayettegeneral.com/our_facilities/professional_centers/lafayette_behavioral_health_unit.aspx,,,Lafayette General Health,Lafayette,,30.2202,-92.05679,OpenStreetMap (Overpass)
United Medical Rehabilitation Hospitals,https://umrhospital.com/locations/new-orleans/,,+1 504 433 5535,,Gretna,,29.8659914,-90.0301286,OpenStreetMap (Overpass)
