name,website,email,phone,bio,city,state,lat,lon,source
Northern Nevada Adult Mental Health Services,https://dpbh.nv.gov/About/Overview/NNAMHS_Overview/,,+1 775 688 2001,,Sparks,,39.5295173,-119.7776248,OpenStreetMap (Overpass)
Willow Springs Center,https://willowspringscenter.com/,,+1 775 858 3303,,Reno,,39.5021337,-119.7571331,OpenStreetMap (Overpass)
Tahoe Pacific Hospital,https://www.lifecarehealthpartners.com/region/tahoepacific,,+1 775 331 1044,,Reno,,39.4356798,-119.7606491,OpenStreetMap (Overpass)
Tennyson Center for Children at Colorado Christian Home,https://www.tennysoncenter.org/,,+1-303-433-2541,,Denver,CO,39.7594523,-105.0434853,OpenStreetMap (Overpass)
University of Colorado Hospital,https://www.uchealth.org/metrodenver/Pages/default.aspx,,+1-720-848-0000,,,CO,39.7425435,-104.841661,OpenStreetMap (Overpass)
Sage Memorial Hospital,https://sagememorial.com/,,+1 928 755 4500,,Ganado,,35.7107535,-109.5436083,OpenStreetMap (Overpass)
Yuma Regional Medical Center,https://www.yumaregional.org/,,,Yuma Regional Medical Center,Yuma,AZ,32.682658,-114.6351026,OpenStreetMap (Overpass)
White Mountain Regional Medical Center,https://www.wmrmc.com/,,+1 928 333 4368,,Springerville,AZ,34.131573,-109.285348,OpenStreetMap (Overpass)
Banner Children’s at Desert,https://www.bannerhealth.com/locations/mesa/cardon-children-s-medical-center,,+1 480 412 5437,,Mesa,AZ,33.3902134,-111.878137,OpenStreetMap (Overpass)
Select Specialty Hospital - Phoenix,https://phoenix.selectspecialtyhospitals.com/,,+1-602-406-6810,Select Specialty Hospital,Phoenix,AZ,33.4811191,-112.079307,OpenStreetMap (Overpass)
The Denver Hospice,https://thedenverhospice.org/,,+1-303-418-3000,,Denver,CO,39.7199008,-104.8919851,OpenStreetMap (Overpass)
Kindred Hospital Aurora,http://www.khaurora.com/,,+1-303-857-8333,Kindred Healthcare,Aurora,,39.7281498,-104.826609,OpenStreetMap (Overpass)
Children's Hospital Colorado at Memorial Hospital,https://www.childrenscolorado.org/about/locations/colorado-springs/memorial-hospital-central,,+1-719-365-5000,,Colorado Springs,CO,38.8393776,-104.799593,OpenStreetMap (Overpass)
Denver Health Medical Center Emergency Department Trauma Center,https://www.denverhealth.org/services/emergency-medicine,,+1-303-602-8100,,Denver,CO,39.7284644,-104.990709,OpenStreetMap (Overpass)
Denver Health Medical Emergency Center for Children,https://www.denverhealth.org/services/emergency-medicine/pediatric-emergency-urgent-care,,+1-303-436-6000,,Denver,CO,39.7276243,-104.9908679,OpenStreetMap (Overpass)
SCL Health Saint Joseph Hospital,https://www.sclhealth.org/locations/saint-joseph-hospital/,,+1-303-812-2000,,Denver,CO,39.7461762,-104.9710857,OpenStreetMap (Overpass)
Eagle Medical Center,https://www.carsontahoe.com/eagle_medical_center.html,,+1-775-445-7170,,Carson City,NV,39.1852876,-119.7711226,OpenStreetMap (Overpass)
Utah Youth Village,https://youthvillage.org,,+1 801-272-9980,"Since 1969, Utah Youth Village have been working to help provide young Utahns with the adult relationships and learning opportunities they need to thrive.",Holladay,UT,40.6458486,-111.8358369,OpenStreetMap (Overpass)
Action Behavior Centers - ABA Therapy for Autism,https://www.actionbehavior.com/locations/aba-therapy-longmont-co/,,+1 720-405-6201,"Our Longmont ABA Therapy center provides services for early learners, school-age children, and teens on the Autism Spectrum. Applied Behavior Analysis (ABA) therapy is the leading treatment method to improve the signs and symptoms associated with ASD.",Longmont,CO,40.1362681,-105.1237378,OpenStreetMap (Overpass)
Haven Senior Horizons of Phoenix,https://www.havenofphoenix.com/,,+1-623-236-2000,Haven Behavioral Healthcare,Phoenix,AZ,33.4356459,-112.0812143,OpenStreetMap (Overpass)
Barrow Neurological Institute,https://www.barrowneuro.org/wp-content/uploads/Neurosurgery_Flyer_8-2021.pdf,,+1-602-406-3181,Dignity Health,Phoenix,AZ,33.4807657,-112.0788312,OpenStreetMap (Overpass)
The Root Acupuncture,https://therootacupuncture.com/,,+1-303-500-5075,"The Root Acupuncture has successfully used acupuncture and Chinese Medicine to treat a wide range of conditions, but specializes in musculo-skeletal pain, digestive disorders, auto-immune conditions, sleep disorders, and stress management. We use a wide r",Lakewood,CO,39.6828034,-105.1560498,OpenStreetMap (Overpass)
TMC Geropsychiatric Center At Handmaker,https://www.tmcaz.com,,+1 520 324 4600,,Tucson,AZ,32.2487838,-110.8844966,OpenStreetMap (Overpass)
Tucson Emergency Room And Hospital,https://tucsonerhospital.com,,+1 520 375 9111,,Tucson,AZ,32.2221731,-110.8948742,OpenStreetMap (Overpass)
Indian Health Service Tucson Area,https://www.ihs.gov/tucson,,+1 520 383 7200,,Sells,AZ,32.1075246,-110.9811825,OpenStreetMap (Overpass)
Sierra Tucson,https://www.sierratucson.com,,+1 520 624 4000,,Tucson,AZ,32.5167752,-110.8873002,OpenStreetMap (Overpass)
56th Medical Group,https://luke.tricare.mil,,+1 623 856 2273,US Air Force,Luke AFB,AZ,33.5412922,-112.3572473,OpenStreetMap (Overpass)
Rehabilitation Hospital Of Northern Arizona,https://rhna.ernesthealth.com,,+1 928 774 7070,,Flagstaff,AZ,35.2100866,-111.6304195,OpenStreetMap (Overpass)
Talas Harbor At Bullhead City,https://www.talasharbor.com,,+1 928 404 6012,,Bullhead City,AZ,35.1865185,-114.5282265,OpenStreetMap (Overpass)
The Guidance Center,https://tgcaz.org/index.html,,+1 928 527 1899,,Flagstaff,AZ,35.2066967,-111.6064953,OpenStreetMap (Overpass)
Middle Park Medical Center - Granby Campus,https://middleparkhealth.org/locations/granby/,,+1-970-887-5800,Middle Park Health,Granby,CO,40.075728,-105.925792,OpenStreetMap (Overpass)
Reunion Rehabilitation Hospital Denver,https://reunionrehabhospital.com/locations/denver,,+1-720-734-3500,,Denver,,39.7814708,-104.8822514,OpenStreetMap (Overpass)
Encompass Health Rehab Hospital Of Littleton,https://encompasshealth.com/locations/littletonrehab,,+1-303-334-1100,,Littleton,,39.5745418,-105.0000982,OpenStreetMap (Overpass)
