name,website,email,phone,bio,city,state,lat,lon,source
Harris Methodist Springwood Hospital,https://www.texashealth.org/location/texas-health-springwood-behavioral-health-hospital-heb,,+1 682 236 6023,Texas Health,Bedford,,32.834508,-97.1230555,OpenStreetMap (Overpass)
Cornerstone Hospital Austin,https://www.chghospitals.com/austin/,,+1-512-706-1900,Cornerstone Healthcare Group,Austin,,30.3118919,-97.7433271,OpenStreetMap (Overpass)
Red River Hospital,https://www.redriverhospital.com/,,+1-940-341-2464,,Wichita Falls,TX,33.9063162,-98.5013346,OpenStreetMap (Overpass)
Devereux Advanced Behavioral Health Texas League City,https://www.devereux.org/site/SPageServer/?pagename=tx_index,,+1 800 373 0011,Devereux Advanced Behavioral Health,League City,,29.5069913,-95.1066598,OpenStreetMap (Overpass)
Cornerstone Hospital Houston – Bellaire,https://www.chghospitals.com/houston-bellaire/,,+1-713-295-5300,Cornerstone Healthcare Group,Houston,,29.70801,-95.47327,OpenStreetMap (Overpass)
Plaza Specialty Hospital,https://plazaspecialtyhospital.com/,,+1-713-285-1000,HCA,Houston,TX,29.7233769,-95.386876,OpenStreetMap (Overpass)
Methodist Children's Hospital,https://sahealth.com/locations/methodistchildrens/,,+1-210-575-7000,HCA,San Antonio,,29.507212,-98.572054,OpenStreetMap (Overpass)
Plano Specialty Hospital,http://specialtyhospitalplano.com/,,+1 972 758 5200,,Plano,,33.021349,-96.7691985,OpenStreetMap (Overpass)
Heart Hospital of Austin,https://stdavids.com/location/heart-hospital-of-austin,,+1-512-407-7000,HCA,Austin,,30.30591,-97.7410796,OpenStreetMap (Overpass)
HealthSouth Sugar Land Rehabilitation,https://www.healthsouthsugarland.com/,,+1 281 276 7574,Encompass Health,Sugar Land,,29.6044106,-95.6332343,OpenStreetMap (Overpass)
Texas Heart Institute - Denton A. Cooley Building,https://www.texasheart.org/,,+1-832-355-4011,Texas Heart Institute,Houston,TX,29.7079305,-95.399419,OpenStreetMap (Overpass)
Medical City Frisco A Medical Center Of Plano Facility,https://medicalcityhealthcare.com/locations/medical-city-frisco/,,,,Frisco,,33.1509841,-96.8390046,OpenStreetMap (Overpass)
Haven Behavioral Hospital Of Frisco,https://www.havenfrisco.com,,+1 469 535 8000,,Frisco,,33.1506258,-96.8378454,OpenStreetMap (Overpass)
El Paso Psychiatric Center,https://dshs.texas.gov/mhhospitals/default.shtm,,,Texas Department of State Health Services,El Paso,TX,31.7719999,-106.43622,OpenStreetMap (Overpass)
Select Specialty Hospital - Dallas Downtown,https://dallasdowntown.selectspecialtyhospitals.com/,,+1-469-801-4500,Select Specialty Hospital,Dallas,TX,32.790245,-96.7800903,OpenStreetMap (Overpass)
Baptist Emergency Hospital,http://www.baptistemergencyhospital.com/thousand-oaks/,,+1-210-402-4092,,San Antonio,,29.5879659,-98.4734443,OpenStreetMap (Overpass)
Northwest Hills Surgical Hospital,https://northwesthillssurgical.com/,,+1-512-346-1994,Surgical Care Affiliates,Austin,,30.3502455,-97.7517664,OpenStreetMap (Overpass)
Doctors Hospital at Renaissance,https://www.dhr-rgv.com/Healthcare-Services/Rehabilitation-Hospital,,+1-956-362-3550,Doctors Hospital at Renaissance,Edinburg,,26.2526722,-98.206138,OpenStreetMap (Overpass)
El Paso Children's Hospital,https://elpasochildrens.org/,,+1-915-298-5444,,El Paso,TX,31.771455,-106.4339563,OpenStreetMap (Overpass)
The Heart Hospital Baylor Plano,https://www.thehearthospitalbaylor.com/,,+1 469 814 3278,Baylor Scott & White Health,Plano,,33.0147813,-96.7899585,OpenStreetMap (Overpass)
North Central Surgical Center,https://www.northcentralsurgical.com/,,+1-214-265-2810,,Dallas,,32.8749243,-96.7712045,OpenStreetMap (Overpass)
Texas Health Heart & Vascular Hospital Arlington,http://texashealthheartandvascular.org/,,+1-817-960-3500,Texas Health,Arlington,TX,32.7487164,-97.1164531,OpenStreetMap (Overpass)
Aspire Hospital,https://www.aspirehealthcorp.com/,,+1 936 647 3500,,Conroe,,30.2846283,-95.4801165,OpenStreetMap (Overpass)
"Westbridge Recovery Center, Inc",https://www.txwbrc.com/,,+1-832-510-8305,,Porter,TX,30.072272,-95.1722775,OpenStreetMap (Overpass)
Hopkins Minor Emergency Center,https://minoremergencynow.com/,,+1-903-885-2911,,Sulphur Springs,TX,33.1256992,-95.5993708,OpenStreetMap (Overpass)
YAKER Hair Restoration + Med Spa,https://www.yakermd.com/,yaker@yakermd.com,+1 972-468-8301,"hair-micropigmentation, hair-transplant, hair-loss-treatments, fue-hair",Plano,TX,33.0413529,-96.7938154,OpenStreetMap (Overpass)
Genesis Medical Group - Tomball,https://www.genesisdoctors.com/,scheduling@nwdc.com,+1-281-440-5300,,Tomball,TX,30.0401173,-95.6088555,OpenStreetMap (Overpass)
CH First Emergency Room,https://www.ch1er.com,info@ch1er.com,+1-281-343-3134,CH First Emergency Room,Deer Park,TX,29.7023897,-95.1012625,OpenStreetMap (Overpass)
Moody Neurorehabilitation Institute at TideWay,https://moodyneuro.org/location/tideway/,ContactAdmissions@MoodyNeuro.org,+1 409-741-3266,"Since 1982, Moody Neuro has pioneered post-acute brain injury treatment and rehabilitation using innovative techniques, strategies and therapies.",Galveston,TX,29.2669776,-94.8327567,OpenStreetMap (Overpass)
Moody Neurorehabilitation Institute in Galveston,https://moodyneuro.org/location/galveston/,ContactAdmissions@MoodyNeuro.org,+1 409-762-6661,"Since 1982, Moody Neuro has pioneered post-acute brain injury treatment and rehabilitation using innovative techniques, strategies and therapies.",Galveston,TX,29.3071529,-94.7846504,OpenStreetMap (Overpass)
Epic Strides,https://epicstrides.net/,angel@epicstrides.net,+1 972-596-0035,,Plano,TX,33.0567737,-96.7738864,OpenStreetMap (Overpass)
Action Behavior Centers - ABA Therapy for Autism,https://www.actionbehavior.com/locations/aba-therapy-westover-hills-tx/,notifications@actionbehavior.com,+1-210-775-2222,,San Antonio,TX,29.4618306,-98.6899761,OpenStreetMap (Overpass)
