name,website,email,phone,bio,city,state,lat,lon,source
Navos West Seattle Campus,https://www.navos.org/,,+1-206-933-7000,Navos Mental Health Solutions,Seattle,WA,47.534445,-122.366224,OpenStreetMap (Overpass)
Roseburg VA Medical Center,https://www.roseburg.va.gov/,,+1 541 440 1000,,Roseburg,,43.2247983,-123.3675632,OpenStreetMap (Overpass)
Saint Joseph's Behavioral Health Center,https://www.dignityhealth.org/central-california/locations/stjosephsbehavioral,,+1 209 948 2100,Dignity Health,Stockton,,37.9767296,-121.290909,OpenStreetMap (Overpass)
Tarzana Treatment Centers Long Beach,https://www.tarzanatc.org/location-detail/long-beach/2101-magnolia-avenue/,,+1 562 218 1868,,Long Beach,,33.795573,-118.1984023,OpenStreetMap (Overpass)
Crestwood Behavioral Health San Diego,https://crestwoodbehavioralhealth.com/location/san-diego/,,+1 619 481 6790,Crestwood Behavioral Health,San Diego,,32.7493389,-117.0766646,OpenStreetMap (Overpass)
Jerold Phelps Community Hospital,https://shchd.org/jerold-phelps-community-hospital/,,+1 707-923-3921,Southern Humboldt Community Healthcare District,Garberville,CA,40.101622,-123.792503,OpenStreetMap (Overpass)
Modoc Medical Center,https://modocmedicalcenter.org/,,+1 530 233 5131,,Alturas,,41.4801377,-120.5453854,OpenStreetMap (Overpass)
Los Angeles Community Hospital,https://www.lach-la.com/,,+1 323 267 0477,Alta Los Angeles Hospitals,Los Angeles,,34.0191797,-118.1864606,OpenStreetMap (Overpass)
Palomar Medical Center Poway,http://www.pph.org/ContentPage.aspx?nd=420,,+1-858-613-4000,Palomar Health,Poway,CA,32.9968221,-117.055952,OpenStreetMap (Overpass)
Shriners Hospitals for Children — Northern California,https://www.shrinershospitalsforchildren.org/sacramento,,+1 916 453 2000,Shriners Hospitals for Children,Sacramento,,38.5529616,-121.455231,OpenStreetMap (Overpass)
Edward G. Hirschman Burn Center,https://www.arrowheadmedcenter.org/srvInBurncenter.aspx,,+1 909 580 2100,,,,34.0744188,-117.3504067,OpenStreetMap (Overpass)
Jonathan Jaques Children's Cancer Center,https://www.millerchildrenshospitallb.org/cancer,,+1 562 933 8500,,,,33.8084999,-118.1858169,OpenStreetMap (Overpass)
Miller Children's & Women's Hospital Long Beach,https://www.millerchildrenshospitallb.org/,,+1 562 933 5437,MemorialCare,Long Beach,,33.8086158,-118.1860441,OpenStreetMap (Overpass)
Kindred Hospital Rancho,https://www.kindredhealthcare.com/locations/transitional-care-hospitals/kindred-hospital-rancho,,+1 909 581 6400,Kindred Healthcare,Rancho Cucamonga,,34.1036866,-117.566315,OpenStreetMap (Overpass)
Riverside University Health System - Arlington Mental Health Facility,https://www.ruhealth.org/en-us/pages/Behavioral-Health.aspx,,+1 951 486 4000,Riverside University Health System,Riverside,,33.9190963,-117.4597252,OpenStreetMap (Overpass)
Menlo Park Surgical Hospital,https://www.sutterhealth.org/find-location/facility/menlo-park-surgical-hospital,,+1 650 324 8500,Sutter Health,Menlo Park,,37.4615473,-122.1590573,OpenStreetMap (Overpass)
Mattel Children's Hospital,https://www.uclahealth.org/hospitals/mattel,,+1 310 825 9111,,Los Angeles,CA,34.0663274,-118.4471116,OpenStreetMap (Overpass)
Resnick Neuropsychiatric Hospital,https://www.uclahealth.org/hospitals/resnick,,+1-310-825-9111,,Los Angeles,CA,34.0661034,-118.4465012,OpenStreetMap (Overpass)
Neurological Rehabilitation & Research Unit,http://rehab.ucla.edu/body.cfm?id=29,,+1 310 794 6556,,Los Angeles,,34.065767,-118.4442777,OpenStreetMap (Overpass)
Kedren Community Health Center,https://kedren.org/,,+1 323 233 0425,,Los Angeles,,34.0073173,-118.2661911,OpenStreetMap (Overpass)
UC Davis Comprehensive Cancer Center,http://www.ucdmc.ucdavis.edu/cancer/,,+1 916 734 5959,,Sacramento,,38.5539253,-121.452636,OpenStreetMap (Overpass)
Adventist Health Hanford,https://www.adventisthealth.org/hanford,,+1 559-582-9000,Adventist Health,Hanford,,36.3238618,-119.666954,OpenStreetMap (Overpass)
Valley Recovery Center of California,https://valleyrecovery.com/,,,Summit Behavioral Healthcare,Sacramento,CA,38.5751753,-121.4143325,OpenStreetMap (Overpass)
Adventist Health Medical Office - Corcoran,https://www.adventisthealth.org/central-valley/pages/oham/orgunitdetails.aspx?OrganizationalUnitId=2939,,+1 559 992 2800,Adventist Health,Corcoran,,36.0999471,-119.564506,OpenStreetMap (Overpass)
Kaweah Delta Sub Acute,https://www.kaweahdelta.org/Locations/Kaweah-Delta-Sub-Acute.aspx,,+1 559 624 6024,Kaweah Delta Health Care District,Visalia,,36.3159724,-119.2926675,OpenStreetMap (Overpass)
